characteristic_group,category,experienced_scam_000,total_persons_000,victimisation_rate_percent
Sex,Male,278.3,10771.2,2.6
Sex,Female,320.6,11156.5,2.9
Age range (years),15—24,61.2,3360.9,1.8
Age range (years),25—34,93.1,3947.1,2.4
Age range (years),35—44,106.7,3808.3,2.8
Age range (years),45—54,114.5,3273.7,3.5
Age range (years),55—64,84.7,3031.7,2.8
Age range (years),65 and over,139.7,4510.7,3.1
Whether has disability or restrictive condition,Has disability or restrictive condition,240.5,6057.4,4.0
Whether has disability or restrictive condition,Does not have disability or restrictive condition,357.6,15868.4,2.3
Social marital status,Married,327.0,12503.2,2.6
Social marital status,Not married,265.5,9422.4,2.8
Country of birth,Australia,397.2,14430.5,2.8
Country of birth,Born overseas,201.7,7495.3,2.7
Greater capital city statistical areas,Capital city,383.8,15009.1,2.6
Greater capital city statistical areas,Balance of state/territory,212.8,6915.7,3.1
Level of highest non-school qualification,Has non-school qualification,438.7,13752.2,3.2
Level of highest non-school qualification,Postgraduate degree,71.9,2632.8,2.7
Level of highest non-school qualification,Bachelor degree,133.6,4547.1,2.9
Level of highest non-school qualification,Advanced Diploma/Diploma/Certificate,217.3,6116.1,3.6
Level of highest non-school qualification,Does not have non-school qualification,162.7,8171.9,2.0
Labour force status,Total employed,405.5,14457.1,2.8
Labour force status,Full-time,290.1,10031.5,2.9
Labour force status,Part-time,112.7,4421.6,2.5
Labour force status,Unemployed,12.7,573.0,2.2
Labour force status,Not in the labour force,180.6,6898.6,2.6
Equivalised weekly household income,Lowest quintile,59.1,2301.7,2.6
Equivalised weekly household income,Second quintile,82.2,2769.9,3.0
Equivalised weekly household income,Third quintile,101.1,3269.7,3.1
Equivalised weekly household income,Fourth quintile,85.8,3341.6,2.6
Equivalised weekly household income,Highest quintile,100.3,3356.8,3.0
Index of relative Socio-economic Advantage and Disadvantage,Lowest quintile,120.9,3572.3,3.4
Index of relative Socio-economic Advantage and Disadvantage,Second quintile,97.5,3878.6,2.5
Index of relative Socio-economic Advantage and Disadvantage,Third quintile,128.5,4703.6,2.7
Index of relative Socio-economic Advantage and Disadvantage,Fourth quintile,109.0,4827.6,2.3
Index of relative Socio-economic Advantage and Disadvantage,Highest quintile,143.6,4938.6,2.9
Index of relative Socio-economic Advantage and Disadvantage,Total,596.6,21926.7,2.7
