section,characteristic_group,category,most_serious_scam_reported_000,all_persons_experienced_scam_000,reporting_rate_percent
Most serious scam type,Most serious scam type,Information request or phishing,70.2,102.1,68.8
Most serious scam type,Most serious scam type,Computer support,5.4,7.7,70.1
Most serious scam type,Most serious scam type,Financial advice,44.1,66.6,66.2
Most serious scam type,Most serious scam type,Upfront payment,41.2,55.9,73.7
Most serious scam type,Most serious scam type,Buying or selling,225.7,299.2,75.4
Most serious scam type,Most serious scam type,Relationship or romance,10.2,12.4,82.3
Most serious scam type,Most serious scam type,Threats or extortion,9.2,11.4,80.7
Most serious scam type,Most serious scam type,Other,17.4,23.8,73.1
Socio-demographic characteristics,Sex,Male,191.3,278.3,68.7
Socio-demographic characteristics,Sex,Female,234.7,320.6,73.2
Socio-demographic characteristics,Age range (years),15—34,109.6,155.0,70.7
Socio-demographic characteristics,Age range (years),35—54,147.5,215.1,68.6
Socio-demographic characteristics,Age range (years),55 and over,163.9,225.7,72.6
Socio-demographic characteristics,Whether has disability or restrictive condition,Has disability or restrictive condition,166.2,240.5,69.1
Socio-demographic characteristics,Whether has disability or restrictive condition,Does not have disability or restrictive condition,260.7,357.6,72.9
Socio-demographic characteristics,Social marital status,Married,244.0,327.0,74.6
Socio-demographic characteristics,Social marital status,Not married,183.0,265.5,68.9
Socio-demographic characteristics,Country of birth,Australia,291.0,397.2,73.3
Socio-demographic characteristics,Country of birth,Born overseas,135.8,201.7,67.3
Socio-demographic characteristics,Greater capital city statistical areas,Capital city,268.1,383.8,69.9
Socio-demographic characteristics,Greater capital city statistical areas,Balance of state/territory,153.0,212.8,71.9
Socio-demographic characteristics,Level of highest non-school qualification,Has non-school qualification,330.6,438.7,75.4
Socio-demographic characteristics,Level of highest non-school qualification,Does not have non-school qualification,95.8,162.7,58.9
Socio-demographic characteristics,Labour force status,Employed,291.4,405.5,71.9
Socio-demographic characteristics,Labour force status,Unemployed,8.5,12.7,66.9
Socio-demographic characteristics,Labour force status,Not in the labour force,120.1,180.6,66.5
Socio-demographic characteristics,Equivalised weekly household income,Lowest quintile,41.0,59.1,69.4
Socio-demographic characteristics,Equivalised weekly household income,Second quintile,62.1,82.2,75.5
Socio-demographic characteristics,Equivalised weekly household income,Third quintile,66.3,101.1,65.6
Socio-demographic characteristics,Equivalised weekly household income,Fourth quintile,53.5,85.8,62.4
Socio-demographic characteristics,Equivalised weekly household income,Highest quintile,76.4,100.3,76.2
Socio-demographic characteristics,Index of relative Socio-economic Advantage and Disadvantage,Lowest quintile,92.8,120.9,76.8
Socio-demographic characteristics,Index of relative Socio-economic Advantage and Disadvantage,Second quintile,67.0,97.5,68.7
Socio-demographic characteristics,Index of relative Socio-economic Advantage and Disadvantage,Third quintile,94.2,128.5,73.3
Socio-demographic characteristics,Index of relative Socio-economic Advantage and Disadvantage,Fourth quintile,70.7,109.0,64.9
Socio-demographic characteristics,Index of relative Socio-economic Advantage and Disadvantage,Highest quintile,103.3,143.6,71.9
Socio-demographic characteristics,Index of relative Socio-economic Advantage and Disadvantage,Total,424.4,596.6,71.1
