scam_type,year,experienced_scam_000,victimisation_rate_percent
Information request or phishing,2020–21,203.9,1.0
Information request or phishing,2021–22,169.9,0.8
Information request or phishing,2022–23,134.7,0.6
Information request or phishing,2023–24,148.8,0.7
Information request or phishing,2024–25,106.9,0.5
Computer support,2020–21,65.4,0.3
Computer support,2021–22,42.8,0.2
Computer support,2022–23,20.0,0.1
Computer support,2023–24,35.8,0.2
Computer support,2024–25,14.3,0.1
Financial advice,2020–21,78.0,0.4
Financial advice,2021–22,83.2,0.4
Financial advice,2022–23,64.6,0.3
Financial advice,2023–24,82.8,0.4
Financial advice,2024–25,69.1,0.3
Upfront payment,2020–21,83.6,0.4
Upfront payment,2021–22,48.0,0.2
Upfront payment,2022–23,81.8,0.4
Upfront payment,2023–24,84.5,0.4
Upfront payment,2024–25,66.9,0.3
Buying or selling,2020–21,167.4,0.8
Buying or selling,2021–22,169.5,0.8
Buying or selling,2022–23,199.2,1.0
Buying or selling,2023–24,308.2,1.4
Buying or selling,2024–25,306.4,1.4
Relationship or romance,2020–21,22.9,0.1
Relationship or romance,2021–22,14.5,0.1
Relationship or romance,2022–23,21.1,0.1
Relationship or romance,2023–24,20.3,0.1
Relationship or romance,2024–25,14.8,0.1
Threats or extortion,2020–21,,
Threats or extortion,2021–22,35.2,0.2
Threats or extortion,2022–23,17.4,0.1
Threats or extortion,2023–24,20.0,0.1
Threats or extortion,2024–25,15.7,0.1
At least one scam,2020–21,723.1,3.6
At least one scam,2021–22,552.0,2.7
At least one scam,2022–23,514.3,2.5
At least one scam,2023–24,675.3,3.1
At least one scam,2024–25,596.6,2.7
