scam_category,amount_lost,reports,average_loss_per_report
Investment scams,120727679.46,5150,23442.267856
Attempts to gain your personal information,34071895.12,73832,461.478697
Buying or selling,27452101.97,31116,882.250353
Dating and romance,22293925.81,2288,9743.848693
Jobs and employment,16605335.67,4977,3336.414641
Threats and extortion,10329416.68,6664,1550.032515
Unexpected money,5743468.86,2845,2018.793975
Unexpected winnings,691419.06,2098,329.561039
Other,633243.26,14695,43.09243
Fake charities,226281.72,602,375.883256
